strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
England/LOND-D6FF7/2020	SARS-CoV-2	2020-04-03	V	United Kingdom	England	C	Non-USA
England/20134028104/2020	SARS-CoV-2	2020-03-24	G	United Kingdom	England	C	Non-USA
England/BRIS-1229EE/2020	SARS-CoV-2	2020-04-03	G	United Kingdom	England	C	Non-USA
Spain/Donostia-San_Sebastian_COV003200/2020	SARS-CoV-2	2020-03-12	V	Spain	Basque Country	C	Non-USA
Scotland/CVR2877/2020	SARS-CoV-2	2020-04-21	V	United Kingdom	Scotland	C	Non-USA
England/CAMB-1B18AB/2020	SARS-CoV-2	2020-05-07	G	United Kingdom	England	C	Non-USA
England/SHEF-C7788/2020	SARS-CoV-2	2020-04-06	GR	United Kingdom	England	C	Non-USA
Brazil/PE-IAM67/2020	SARS-CoV-2	2020-04-08	GR	Brazil	Pernambuco	C	Non-USA
England/GSTT-265E465/2020	SARS-CoV-2	2020-03-31	V	United Kingdom	England	C	Non-USA
Wales/PHWC-2C1A1/2020	SARS-CoV-2	2020-04-04	G	United Kingdom	Wales	C	Non-USA
Netherlands/NA_275/2020	SARS-CoV-2	2020-03-30	G	Netherlands	Netherlands	C	Non-USA
Oman/C-6069/2020	SARS-CoV-2	2020-04-26	GR	Oman	Muscat	C	Non-USA
England/CAMB-7C2DC/2020	SARS-CoV-2	2020-04-15	G	United Kingdom	England	C	Non-USA
England/NORT-28314C/2020	SARS-CoV-2	2020-03-31	V	United Kingdom	England	C	Non-USA
Wales/PHWC-3621A/2020	SARS-CoV-2	2020-04-28	G	United Kingdom	Wales	C	Non-USA
Spain/Palma2512/2020	SARS-CoV-2	2020-03-20	S	Spain	Balear Islands	C	Non-USA
Wales/PHWC-27E81/2020	SARS-CoV-2	2020-03-24	G	United Kingdom	Wales	C	Non-USA
SouthAfrica/KRISP-K000580/2020	SARS-CoV-2	2020-07-13	GR	South Africa	KwaZulu-Natal	C	Non-USA
Scotland/GCVR-1703E3/2020	SARS-CoV-2	2020-03-23	G	United Kingdom	Scotland	C	Non-USA
England/CAMB-1B1DAC/2020	SARS-CoV-2	2020-05-09	GR	United Kingdom	England	C	Non-USA
Scotland/EDB4263/2020	SARS-CoV-2	2020-04-21	G	United Kingdom	Scotland	C	Non-USA
Wales/PHWC-32D77/2020	SARS-CoV-2	2020-04-14	G	United Kingdom	Wales	C	Non-USA
England/CAMB-7730B/2020	SARS-CoV-2	2020-03-30	G	United Kingdom	England	C	Non-USA
England/LOND-D66F2/2020	SARS-CoV-2	2020-04-22	GR	United Kingdom	England	C	Non-USA
SouthAfrica/KRISP-107/2020	SARS-CoV-2	2020-05-04	GR	South Africa	KwaZulu-Natal	C	Non-USA
Brazil/L14_CD260/2020	SARS-CoV-2	2020-03-27	G	Brazil	São Paulo	C	Non-USA
England/LIVE-9B301/2020	SARS-CoV-2	2020-03-27	GR	United Kingdom	England	C	Non-USA
England/NORW-EB223/2020	SARS-CoV-2	2020-05-03	G	United Kingdom	England	C	Non-USA
England/20144009104/2020	SARS-CoV-2	2020-03-31	V	United Kingdom	England	C	Non-USA
India/NIV-6285/2020	SARS-CoV-2	2020-03-30	O	India	Maharashtra	C	Non-USA
Wales/PHWC-2C60C/2020	SARS-CoV-2	2020-03-31	GR	United Kingdom	Wales	C	Non-USA
Wales/PHWC-33FAD/2020	SARS-CoV-2	2020-04-18	GR	United Kingdom	Wales	C	Non-USA
mink/Netherlands/NB02_07KS/2020	SARS-CoV-2	2020-04-29	L	Netherlands	Netherlands	C	Non-USA
Iceland/275/2020	SARS-CoV-2	2020-03-17	V	Iceland	Reykjavik	C	Non-USA
England/LIVE-A5CFA/2020	SARS-CoV-2	2020-03-17	GR	United Kingdom	England	C	Non-USA
Portugal/PT0113/2020	SARS-CoV-2	2020-03-25	G	Portugal	Portugal	C	Non-USA
England/CAMB-1B2D41/2020	SARS-CoV-2	2020-05-18	GR	United Kingdom	England	C	Non-USA
England/OXON-AF856/2020	SARS-CoV-2	2020-04-15	GH	United Kingdom	England	C	Non-USA
England/20169002204/2020	SARS-CoV-2	2020-04-17	GR	United Kingdom	England	C	Non-USA
England/LIVE-9D9B2/2020	SARS-CoV-2	2020-04-28	GR	United Kingdom	England	C	Non-USA
Scotland/CVR3157/2020	SARS-CoV-2	2020-04-22	G	United Kingdom	Scotland	C	Non-USA
England/SHEF-C17E8/2020	SARS-CoV-2	2020-03-26	GR	United Kingdom	England	C	Non-USA
Belgium/SA-0409296/2020	SARS-CoV-2	2020-04-09	G	Belgium	Nivelles	C	Non-USA
