strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
USA/NY-PV09068/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-NYUMC536/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC247/2020	SARS-CoV-2	2020-04-03	GH	USA	New York	C	NY
USA/NY-NYUMC588/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-WCMP10A05P/2020	SARS-CoV-2	2020-03-15	GH	USA	New York	C	NY
USA/NY-PV09356/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-PV09179/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-WCMP11E04P/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-WCMP9D03P/2020	SARS-CoV-2	2020-03-14	GH	USA	New York	C	NY
USA/NY-NYUMC903/2020	SARS-CoV-2	2020-04-26	GH	USA	New York	C	NY
USA/NY-NYUMC120/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC518/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC442/2020	SARS-CoV-2	2020-04-15	GH	USA	New York	C	NY
USA/NY-NYUMC231/2020	SARS-CoV-2	2020-04-06	GH	USA	New York	C	NY
USA/NY-NYUMC138/2020	SARS-CoV-2	2020-04-01	GH	USA	New York	C	NY
USA/NY-NYUMC561/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC516/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC301/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC917/2020	SARS-CoV-2	2020-03-26	GH	USA	New York	C	NY
USA/NY-NYUMC594/2020	SARS-CoV-2	2020-04-02	GH	USA	New York	C	NY
USA/NY-WCMP10G10P/2020	SARS-CoV-2	2020-03-15	GH	USA	New York	C	NY
USA/NY-PV08402/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-NYUMC504/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC331/2020	SARS-CoV-2	2020-04-13	GH	USA	New York	C	NY
USA/NY-NYUMC228/2020	SARS-CoV-2	2020-04-03	GH	USA	New York	C	NY
USA/NY-WCMP4D04P/2020	SARS-CoV-2	2020-03-13	S	USA	New York	C	NY
USA/NY-NYUMC569/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC802/2020	SARS-CoV-2	2020-03-27	GH	USA	New York	C	NY
USA/NY-PV09092/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-PV09454/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-NYUMC813/2020	SARS-CoV-2	2020-03-25	GH	USA	New York	C	NY
USA/NY-NYU-VC-017/2020	SARS-CoV-2	2020-03-25	GH	USA	New York	C	NY
USA/NY-QDX-106/2020	SARS-CoV-2	2020-03-12	GR	USA	New York	C	NY
USA/NY-PV09172/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-NYUMC57/2020	SARS-CoV-2	2020-03-17	GH	USA	New York	C	NY
USA/NY-NYUMC20/2020	SARS-CoV-2	2020-03-12	GH	USA	New York	C	NY
USA/NY-NYUMC145/2020	SARS-CoV-2	2020-04-01	GH	USA	New York	C	NY
USA/NY-PV09353/2020	SARS-CoV-2	2020-03-24	G	USA	New York	C	NY
USA/NY-PV09368/2020	SARS-CoV-2	2020-03-17	GH	USA	New York	C	NY
USA/NY-PV08138/2020	SARS-CoV-2	2020-03-13	GH	USA	New York	C	NY
USA/NY-NYUMC248/2020	SARS-CoV-2	2020-04-03	GH	USA	New York	C	NY
USA/NY-NYUMC515/2020	SARS-CoV-2	2020-03-30	S	USA	New York	C	NY
USA/NY-PV09069/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-PV09495/2020	SARS-CoV-2	2020-03-20	GR	USA	New York	C	NY
USA/NY-PV08469/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC387/2020	SARS-CoV-2	2020-04-10	GH	USA	New York	C	NY
USA/NY-NYUMC93/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC437/2020	SARS-CoV-2	2020-04-13	GH	USA	New York	C	NY
USA/NY-Wadsworth-22503-01/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-NYUMC279/2020	SARS-CoV-2	2020-04-05	GH	USA	New York	C	NY
USA/NY-NYUMC608/2020	SARS-CoV-2	2020-04-02	GH	USA	New York	C	NY
USA/NY-NYUMC399/2020	SARS-CoV-2	2020-04-13	GH	USA	New York	C	NY
USA/NY-NYUMC2/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-PV09349/2020	SARS-CoV-2	2020-03-24	GH	USA	New York	C	NY
USA/NY-NYUMC743/2020	SARS-CoV-2	2020-03-26	GH	USA	New York	C	NY
USA/NY-PV08150/2020	SARS-CoV-2	2020-03-17	GH	USA	New York	C	NY
USA/NY-WCMP9B06P/2020	SARS-CoV-2	2020-03-14	GH	USA	New York	C	NY
USA/NY-PV09370/2020	SARS-CoV-2	2020-03-19	GH	USA	New York	C	NY
USA/NY-PV09063/2020	SARS-CoV-2	2020-03-20	V	USA	New York	C	NY
USA/NY-NYUMC517/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-SURV0240/2020	SARS-CoV-2	2020-03-17	GH	USA	New York	C	NY
USA/NY-NYUMC923/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC126/2020	SARS-CoV-2	2020-04-01	GR	USA	New York	C	NY
USA/NY-NYUMC827/2020	SARS-CoV-2	2020-03-26	GH	USA	New York	C	NY
USA/NY-NYUMC6/2020	SARS-CoV-2	2020-03-16	G	USA	New York	C	NY
USA/NY-NYUMC177/2020	SARS-CoV-2	2020-04-01	GH	USA	New York	C	NY
USA/NY-NYUMC740/2020	SARS-CoV-2	2020-03-21	GH	USA	New York	C	NY
USA/NY-UW-584/2020	SARS-CoV-2	2020-06-23	GH	USA	New York	C	NY
USA/NY-WCMP12G03P/2020	SARS-CoV-2	2020-03-16	V	USA	New York	C	NY
USA/NY-NYUMC771/2020	SARS-CoV-2	2020-03-27	GH	USA	New York	C	NY
USA/NY-NYUMC383/2020	SARS-CoV-2	2020-04-10	G	USA	New York	C	NY
USA/NY-PV09143/2020	SARS-CoV-2	2020-03-20	GH	USA	New York	C	NY
USA/NY-WCMP11H06P/2020	SARS-CoV-2	2020-03-16	GH	USA	New York	C	NY
USA/NY-PV09336/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC919/2020	SARS-CoV-2	2020-03-18	GH	USA	New York	C	NY
USA/NY-NYUMC677/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC696/2020	SARS-CoV-2	2020-03-22	GH	USA	New York	C	NY
USA/NY-NYUMC550/2020	SARS-CoV-2	2020-03-30	GH	USA	New York	C	NY
USA/NY-NYUMC639/2020	SARS-CoV-2	2020-04-02	GH	USA	New York	C	NY
USA/NJ-NYUMC106/2020	SARS-CoV-2	2020-03-18	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC111/2020	SARS-CoV-2	2020-03-18	S	USA	New Jersey	C	NJ
USA/NJ-NYUMC329/2020	SARS-CoV-2	2020-04-02	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC344/2020	SARS-CoV-2	2020-04-08	GR	USA	New Jersey	C	NJ
USA/NJ-NYUMC367/2020	SARS-CoV-2	2020-04-09	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC378/2020	SARS-CoV-2	2020-04-10	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC401/2020	SARS-CoV-2	2020-04-13	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC416/2020	SARS-CoV-2	2020-03-30	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC421/2020	SARS-CoV-2	2020-04-22	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC452/2020	SARS-CoV-2	2020-04-20	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC538/2020	SARS-CoV-2	2020-03-30	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC553/2020	SARS-CoV-2	2020-03-30	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC625/2020	SARS-CoV-2	2020-04-02	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC627/2020	SARS-CoV-2	2020-04-02	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC638/2020	SARS-CoV-2	2020-04-02	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC663/2020	SARS-CoV-2	2020-03-18	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC682/2020	SARS-CoV-2	2020-03-30	V	USA	New Jersey	C	NJ
USA/NJ-NYUMC815/2020	SARS-CoV-2	2020-03-26	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC83/2020	SARS-CoV-2	2020-03-18	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC831/2020	SARS-CoV-2	2020-03-21	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC84/2020	SARS-CoV-2	2020-03-18	GH	USA	New Jersey	C	NJ
USA/NJ-NYUMC841/2020	SARS-CoV-2	2020-04-26	GH	USA	New Jersey	C	NJ
USA/NJ-PV09072/2020	SARS-CoV-2	2020-03-20	GH	USA	New Jersey	C	NJ
USA/NJ-PV09361/2020	SARS-CoV-2	2020-03-15	GH	USA	New Jersey	C	NJ
USA/NJ-PV09465/2020	SARS-CoV-2	2020-03-19	GH	USA	New Jersey	C	NJ
USA/NJ-PV09473/2020	SARS-CoV-2	2020-03-19	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-123/2020	SARS-CoV-2	2020-03-13	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-124/2020	SARS-CoV-2	2020-03-16	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-133/2020	SARS-CoV-2	2020-03-13	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-141/2020	SARS-CoV-2	2020-03-15	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-144/2020	SARS-CoV-2	2020-03-13	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-23/2020	SARS-CoV-2	2020-03-15	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-39/2020	SARS-CoV-2	2020-03-14	L	USA	New Jersey	C	NJ
USA/NJ-QDX-55/2020	SARS-CoV-2	2020-03-14	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-56/2020	SARS-CoV-2	2020-03-14	GH	USA	New Jersey	C	NJ
USA/NJ-QDX-74/2020	SARS-CoV-2	2020-03-14	GH	USA	New Jersey	C	NJ
USA/NJ-UW-557/2020	SARS-CoV-2	2020-06-25	GH	USA	New Jersey	C	NJ
USA/NJ-UW-652/2020	SARS-CoV-2	2020-06-28	GH	USA	New Jersey	C	NJ
USA/NJ-UW-755/2020	SARS-CoV-2	2020-07-07	G	USA	New Jersey	C	NJ
USA/NY-NYUMC729/2020	SARS-CoV-2	2020-03-20	GH	USA	New Jersey	C	NJ
USA/NY-NYUMC760/2020	SARS-CoV-2	2020-03-26	GH	USA	New Jersey	C	NJ
USA/MD-MDH-0071/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-UW-MAYO66/2020	SARS-CoV-2	2020-03-19	GH	USA	Maryland	C	MD
USA/MD-HP00055/2020	SARS-CoV-2	2020-03-20	V	USA	Maryland	C	MD
USA/MD-MDH-0058/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MDH-8144/2020	SARS-CoV-2	2020-03-13	S	USA	Maryland	C	MD
USA/MDH-7761/2020	SARS-CoV-2	2020-03-12	S	USA	Maryland	C	MD
USA/MD-HP00118/2020	SARS-CoV-2	2020-03-29	GH	USA	Maryland	C	MD
USA/MD-HP00131/2020	SARS-CoV-2	2020-03-18	GH	USA	Maryland	C	MD
USA/MD-MDH-0086/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-HP00037/2020	SARS-CoV-2	2020-03-24	GH	USA	Maryland	C	MD
USA/MD-MDH-0081/2020	SARS-CoV-2	2020-05-25	S	USA	Maryland	C	MD
USA/MD-HP00113/2020	SARS-CoV-2	2020-03-14	S	USA	Maryland	C	MD
USA/MD-MDH-0018/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD_NIDDL_2981/2020	SARS-CoV-2	2020-04-07	GH	USA	Maryland	C	MD
USA/MD-MDH-0044/2020	SARS-CoV-2	2020-04-06	GH	USA	Maryland	C	MD
USA/MD-HP00128/2020	SARS-CoV-2	2020-03-24	GH	USA	Maryland	C	MD
USA/MD-HP00050/2020	SARS-CoV-2	2020-03-19	GH	USA	Maryland	C	MD
USA/MD-HP00107/2020	SARS-CoV-2	2020-03-21	GH	USA	Maryland	C	MD
USA/MD-MDH-0029/2020	SARS-CoV-2	2020-04-07	GH	USA	Maryland	C	MD
USA/MD-HP00025/2020	SARS-CoV-2	2020-03-17	GH	USA	Maryland	C	MD
USA/MD-MDH-0060/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-HP00065/2020	SARS-CoV-2	2020-03-15	S	USA	Maryland	C	MD
USA/MD-HP00158/2020	SARS-CoV-2	2020-03-30	GH	USA	Maryland	C	MD
USA/MD-HP00044/2020	SARS-CoV-2	2020-03-24	GR	USA	Maryland	C	MD
USA/MD-HP00098/2020	SARS-CoV-2	2020-03-26	S	USA	Maryland	C	MD
USA/MD-MDH-0023/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-HP00077/2020	SARS-CoV-2	2020-03-17	GH	USA	Maryland	C	MD
USA/MD-MDH-0024/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-HP00141/2020	SARS-CoV-2	2020-03-29	S	USA	Maryland	C	MD
USA/MD-MDH-0064/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-MDH-0052/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-HP00106/2020	SARS-CoV-2	2020-03-27	GH	USA	Maryland	C	MD
USA/MD-HP00087/2020	SARS-CoV-2	2020-03-30	S	USA	Maryland	C	MD
USA/MD-MDH-0046/2020	SARS-CoV-2	2020-04-08	GH	USA	Maryland	C	MD
USA/MD-HP00127/2020	SARS-CoV-2	2020-03-24	GH	USA	Maryland	C	MD
USA/MD-MDH-0069/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-HP00031/2020	SARS-CoV-2	2020-03-16	S	USA	Maryland	C	MD
USA/MD-MDH-0082/2020	SARS-CoV-2	2020-05-26	S	USA	Maryland	C	MD
USA/MD-MDH-0074/2020	SARS-CoV-2	2020-05-23	GH	USA	Maryland	C	MD
USA/MD-MDH-0021/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-MDH-0050/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-HP00079/2020	SARS-CoV-2	2020-03-17	GR	USA	Maryland	C	MD
USA/MD-MDH-0051/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD_NIDDL_2941/2020	SARS-CoV-2	2020-04-06	GH	USA	Maryland	C	MD
USA/MD-MDH-0032/2020	SARS-CoV-2	2020-04-07	GH	USA	Maryland	C	MD
USA/MD-HP00058/2020	SARS-CoV-2	2020-03-19	S	USA	Maryland	C	MD
USA/MD-HP00017/2020	SARS-CoV-2	2020-03-20	GH	USA	Maryland	C	MD
USA/MD-MDH-0038/2020	SARS-CoV-2	2020-04-09	GH	USA	Maryland	C	MD
USA/MD-MDH-0017/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-MDH-0068/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-MDH-0079/2020	SARS-CoV-2	2020-05-25	S	USA	Maryland	C	MD
USA/MD-MDH-0033/2020	SARS-CoV-2	2020-04-07	GH	USA	Maryland	C	MD
USA/MD-HP00086/2020	SARS-CoV-2	2020-03-20	S	USA	Maryland	C	MD
USA/MD-HP00094/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-HP00132/2020	SARS-CoV-2	2020-03-16	GH	USA	Maryland	C	MD
USA/MD-HP00029/2020	SARS-CoV-2	2020-03-17	GH	USA	Maryland	C	MD
USA/MD-HP00048/2020	SARS-CoV-2	2020-03-15	GR	USA	Maryland	C	MD
USA/MD-MDH-0047/2020	SARS-CoV-2	2020-04-11	G	USA	Maryland	C	MD
USA/MD-MDH-0053/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-MDH-0028/2020	SARS-CoV-2	2020-04-04	V	USA	Maryland	C	MD
USA/MD-HP00085/2020	SARS-CoV-2	2020-03-26	GR	USA	Maryland	C	MD
USA/MD-MDH-0020/2020	SARS-CoV-2	2020-04-01	GH	USA	Maryland	C	MD
USA/MD-HP00023/2020	SARS-CoV-2	2020-03-13	GH	USA	Maryland	C	MD
USA/MD-MDH-0087/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-HP00078/2020	SARS-CoV-2	2020-03-23	GH	USA	Maryland	C	MD
USA/MD-HP00123/2020	SARS-CoV-2	2020-03-19	O	USA	Maryland	C	MD
USA/MD-MDH-0027/2020	SARS-CoV-2	2020-04-04	V	USA	Maryland	C	MD
USA/MD-MDH-0078/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-MDH-0075/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-HP00133/2020	SARS-CoV-2	2020-03-30	GH	USA	Maryland	C	MD
USA/MD-HP00153/2020	SARS-CoV-2	2020-03-24	S	USA	Maryland	C	MD
USA/MD-MDH-0070/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-MDH-0059/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MD-HP00105/2020	SARS-CoV-2	2020-03-17	GR	USA	Maryland	C	MD
USA/MD-MDH-0077/2020	SARS-CoV-2	2020-05-25	GH	USA	Maryland	C	MD
USA/MDH-7760/2020	SARS-CoV-2	2020-03-12	G	USA	Maryland	C	MD
USA/MD-HP00068/2020	SARS-CoV-2	2020-03-14	GH	USA	Maryland	C	MD
USA/MD_NIDDL_3202/2020	SARS-CoV-2	2020-04-16	S	USA	Maryland	C	MD
USA/MD-HP00057/2020	SARS-CoV-2	2020-03-11	GH	USA	Maryland	C	MD
USA/MD-HP00051/2020	SARS-CoV-2	2020-03-19	GH	USA	Maryland	C	MD
USA/MD-HP00140/2020	SARS-CoV-2	2020-03-22	GH	USA	Maryland	C	MD
USA/MD-MDH-0062/2020	SARS-CoV-2	2020-05-26	GH	USA	Maryland	C	MD
USA/MD-HP00030/2020	SARS-CoV-2	2020-03-20	S	USA	Maryland	C	MD
USA/MD-HP00093/2020	SARS-CoV-2	2020-03-31	GR	USA	Maryland	C	MD
USA/MD-MDH-0042/2020	SARS-CoV-2	2020-04-03	GH	USA	Maryland	C	MD
USA/MD-MDH-0049/2020	SARS-CoV-2	2020-04-21	GH	USA	Maryland	C	MD
USA/MD-MDH-0080/2020	SARS-CoV-2	2020-05-25	S	USA	Maryland	C	MD
USA/MD-HP00069/2020	SARS-CoV-2	2020-03-21	GH	USA	Maryland	C	MD
USA/MD-HP00010/2020	SARS-CoV-2	2020-03-15	GH	USA	Maryland	C	MD
USA/MD-HP00148/2020	SARS-CoV-2	2020-03-24	GH	USA	Maryland	C	MD
USA/MD-HP00020/2020	SARS-CoV-2	2020-03-14	GR	USA	Maryland	C	MD
USA/MD-MDH-0026/2020	SARS-CoV-2	2020-04-03	S	USA	Maryland	C	MD
USA/MD-MDH-0067/2020	SARS-CoV-2	2020-05-25	S	USA	Maryland	C	MD
USA/MD-MDH-0048/2020	SARS-CoV-2	2020-04-12	GH	USA	Maryland	C	MD
USA/MD-HP00159/2020	SARS-CoV-2	2020-03-23	GH	USA	Maryland	C	MD
USA/MD-MDH-0041/2020	SARS-CoV-2	2020-04-03	GH	USA	Maryland	C	MD
USA/MD-HP00114/2020	SARS-CoV-2	2020-03-24	G	USA	Maryland	C	MD
USA/MD-MDH-0019/2020	SARS-CoV-2	2020-04-01	V	USA	Maryland	C	MD
USA/MD-MDH-0040/2020	SARS-CoV-2	2020-04-02	GH	USA	Maryland	C	MD
USA/MD-HP00067/2020	SARS-CoV-2	2020-03-11	GH	USA	Maryland	C	MD
